problemcode,problemcode,persongroup,failurecode,PROBLEMCAUSE,PROBLEMREMEDY,faildate (bins),worktype,wonum,faildate-daycalendar,Problem_description,WODESCRIPTION,SRNUMBER,fail_MonthYearShort,Failure_Code_Descr,SYSTEM,location,subsystem,TramNumber,location - Copy.1,location - Copy.2,location - Copy.3,location - Copy.4,location - Copy.5,location - Copy.6,status,RST CATEGORY
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,April 2018,COR,181789,"Thursday, April 19, 2018",discordance of switch,"During pre opening check SlL37 blinking, In SCADA alarm showng Discordant",37322,Apr/2018,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SPRING LOADED BROKEN,REPLACEMENT,April 2018,COR,181704,"Friday, April 13, 2018",discordance of switch,SL54 damaged component,37226,Apr/2018,FC-TRKS DISCORDANCE SPRING LOADED BROKEN,TRK,DXBT01-A6A5-TR2-TRKS-SL54,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL54,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,May 2018,COR,183405,"Sunday, May 13, 2018",discordance of switch,SL52 discordant in left position,37748,May/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A6A5-TR2-TRKS-SL52,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL52,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,July 2018,COR,189197,"Thursday, July 26, 2018",discordance of switch,"SD09 discordant, normalized after functional test",38910,Jul/2018,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-DEP-ZA-DO3.1-TRKS-SD09,TRKSWITCH,,DXBT01,DEP,ZA,DO3.1,TRKS,SD09,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,July 2018,COR,188893,"Sunday, July 22, 2018",discordance of switch,SL44 is discordant,38843,Jul/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2018,COR,190007,"Thursday, August 9, 2018",discordance of switch,SL41 blinking when trying to set from A to L1 Left position but sets properly from A to C1 straight,39142,Aug/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2018,COR,192375,"Saturday, August 25, 2018",discordance of switch,"SL44 discordant, normalized after functional test",39428,Aug/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2018,COR,190536,"Wednesday, August 15, 2018",discordance of switch,SL37 showing discordant,39273,Aug/2018,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,September 2018,COR,192849,"Friday, September 7, 2018",discordance of switch,SD01 depot switch discordant,39641,sept.-18,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-DEP-ZA-DO1-TRKS-SD01,TRKSWITCH,,DXBT01,DEP,ZA,DO1,TRKS,SD01,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,November 2018,COR,196608,"Wednesday, October 31, 2018",discordance of switch,SL23 discordant on left position,40426,oct.-18,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,October 2018,COR,194616,"Wednesday, October 3, 2018",discordance of switch,SL37 blinking in straight position,40024,oct.-18,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,November 2018,COR,197039,"Thursday, November 15, 2018",discordance of switch,SL 41 discordant,40667,nov.-18,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
SWITCH BLADE ROLLER,SWITCH BLADE ROLLER,CIEM,FC-TRKS,LOOSE BOLTS,REPLACEMENT,November 2018,COR,194953,"Monday, October 15, 2018",SWITCH BLADE ROLLER,SD 18 roller have lose bolt,40203,oct.-18,FC-TRKS SWITCH BLADE ROLLER LOOSE BOLTS,TRK,DXBT01-DEP-ZC-DS1-TRKS-SD18,TRKSWITCH,,DXBT01,DEP,ZC,DS1,TRKS,SD18,CLOSE,
SWITCH BLADE,SWITCH BLADE,CIEM,FC-TRKS,DISCREPANCY WITH TEMPLATE,GRIND,November 2018,COR,194943,"Monday, October 8, 2018",SWITCH BLADE,SD 01 switch blade need grinding repair,40194,oct.-18,FC-TRKS SWITCH BLADE DISCREPANCY WITH TEMPLATE,TRK,DXBT01-DEP-ZA-DO1-TRKS-SD01,TRKSWITCH,,DXBT01,DEP,ZA,DO1,TRKS,SD01,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,January 2019,COR,202460,"Monday, January 28, 2019",discordance of switch,SL23 discordant when tried to set from S090202 to SL23,41695,janv.-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2019,COR,204583,"Saturday, March 2, 2019",discordance of switch,During functional test SL52 showing discordant in SCADA,42346,mars-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A6A5-TR2-TRKS-SL52,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL52,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2019,COR,204721,"Thursday, March 7, 2019",discordance of switch,0118H SL42 discordant,42427,mars-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2019,COR,204759,"Thursday, March 7, 2019",discordance of switch,SL 37 Discordant,42446,mars-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2019,COR,204915,"Thursday, March 14, 2019",discordance of switch,SL42 ALM Point Position discordant and then self normalized,42515,mars-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2019,COR,204916,"Thursday, March 14, 2019",discordance of switch,SL41 discordant in reverse position,42514,mars-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2019,COR,205521,"Friday, March 29, 2019",discordance of switch,SL 37 discordant during functional Test,42738,mars-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,March 2019,COR,205523,"Friday, March 29, 2019",discordance of switch,SL41 ALM Point Position Discordant reverse position even after functional test,42735,mars-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,March 2019,COR,205214,"Thursday, March 21, 2019",discordance of switch,SL 37 Discordant,42625,mars-19,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,April 2019,COR,207510,"Thursday, April 18, 2019",discordance of switch,SL 41 discordant,43013,Apr/2019,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,March 2019,COR,205418,"Tuesday, March 26, 2019",discordance of switch,SL52 discordent while routed to ST11 PF02,42697,mars-19,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A6A5-TR2-TRKS-SL52,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL52,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,April 2019,COR,207513,"Saturday, April 20, 2019",discordance of switch,SL42 discordant in straight position even after functional test,43047,Apr/2019,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SPRING LOADED BROKEN,REPLACEMENT,April 2019,COR,206996,"Wednesday, April 3, 2019",discordance of switch,6 Months Track Preventive  Maintainance Switch Grooved Rail 41GPU,42873,Apr/2019,FC-TRKS DISCORDANCE SPRING LOADED BROKEN,TRK,DXBT01-A6A5-TR1-TRKS-SL53,TRKSWITCH,,DXBT01,A6A5,TR1,TRKS,SL53,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SPRING LOADED BROKEN,REPLACEMENT,April 2019,COR,207525,"Monday, April 15, 2019",discordance of switch,6 Months Track Preventive  Maintainance Switch Grooved Rail 41GPU,43109,Apr/2019,FC-TRKS DISCORDANCE SPRING LOADED BROKEN,TRK,DXBT01-A5A5-ST1-TRKS-SL21,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL21,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,May 2019,COR,207502,"Tuesday, April 9, 2019",discordance of switch,SL 44 discordant,42900,Apr/2019,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,June 2019,COR,211302,"Sunday, June 16, 2019",discordance of switch,SL 44 discordant,43753,Jun/2019,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,July 2019,COR,214828,"Monday, July 15, 2019",discordance of switch,Unable to set route from COZ T1 to SL40 due to SL 40 showing discordant,44225,Jul/2019,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-A7A7-TR2-TRKS-SL40,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL40,,COMP,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,October 2019,COR,221390,"Tuesday, October 22, 2019",discordance of switch,SL22 discordant in reverse position while conducting functional test,45715,oct.-19,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-A5A5-TR2-TRKS-SL22,TRKSWITCH,,DXBT01,A5A5,TR2,TRKS,SL22,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,July 2019,COR,214738,"Thursday, July 4, 2019",discordance of switch,SL 44 Discordant during insertion of test tram,44067,Jul/2019,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,COMP,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HYDRAULIC GROUP LEAKAGE,HYDRAULIC GROUP REPLACED,October 2019,COR,219917,"Sunday, October 6, 2019",discordance of switch,SL22 showing discordant in reverse position during funtional test,45504,oct.-19,FC-TRKS DISCORDANCE HYDRAULIC GROUP LEAKAGE,TRK,DXBT01-A5A5-TR2-TRKS-SL22,TRKSWITCH,,DXBT01,A5A5,TR2,TRKS,SL22,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,July 2019,COR,214844,"Wednesday, July 24, 2019",discordance of switch,SL 23 discordant,44356,Jul/2019,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,COMP,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,October 2019,COR,219422,"Sunday, September 8, 2019",discordance of switch,SL40 discordant during insrtion from Tr1 to Tr2,45097,sept.-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL40,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL40,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2019,COR,215198,"Tuesday, August 6, 2019",discordance of switch,SL 37 discordant during SCADA Checking,44616,Aug/2019,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,August 2019,COR,215199,"Tuesday, August 6, 2019",discordance of switch,During functional test  SL 42 is discordant,44642,Aug/2019,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,September 2019,COR,217822,"Thursday, September 19, 2019",discordance of switch,SWITCH SL 41-DISCORDANT 2 TIMES,45245,sept.-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,September 2019,COR,217475,"Thursday, August 29, 2019",discordance of switch,SL 40 becme discordant during tram insertion,44979,Aug/2019,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-A7A7-TR2-TRKS-SL40,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL40,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,October 2019,COR,219438,"Tuesday, October 1, 2019",discordance of switch,SL44 showing discordant during insertion,45434,oct.-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL44,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL44,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,October 2019,COR,220075,"Wednesday, October 9, 2019",discordance of switch,SL 37 Discordant,45554,oct.-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,November 2019,COR,221711,"Thursday, October 31, 2019",discordance of switch,SL41 Discordant,45854,oct.-19,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,November 2019,COR,222411,"Sunday, November 24, 2019",discordance of switch,SL 42 discordant during insertion,46248,nov.-19,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HYDRAULIC GROUP LEAKAGE,HYDRAULIC GROUP REPLACED,December 2019,COR,224036,"Wednesday, October 16, 2019",discordance of switch,6 Months Track Preventive  Maintainance Switch Grooved Rail 41GPU,46534,oct.-19,FC-TRKS DISCORDANCE HYDRAULIC GROUP LEAKAGE,TRK,DXBT01-A6A5-TR1-TRKS-SL51,TRKSWITCH,,DXBT01,A6A5,TR1,TRKS,SL51,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SPRING LOADED BROKEN,REPLACEMENT,December 2019,COR,224035,"Monday, October 14, 2019",discordance of switch,6 Months Track Preventive  Maintainance Switch Grooved Rail 41GPU,46533,oct.-19,FC-TRKS DISCORDANCE SPRING LOADED BROKEN,TRK,DXBT01-A6A5-TR2-TRKS-SL54,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL54,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,December 2019,COR,224337,"Thursday, December 5, 2019",discordance of switch,SL42 discordant while setting route from track 1  to track 2 (T to Q),46378,Dec/2019,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HYDRAULIC GROUP LEAKAGE,HYDRAULIC GROUP REPLACED,December 2019,COR,224037,"Wednesday, October 16, 2019",discordance of switch,6 Months Track Preventive  Maintainance Switch Grooved Rail 41GPU,46535,oct.-19,FC-TRKS DISCORDANCE HYDRAULIC GROUP LEAKAGE,TRK,DXBT01-A6A5-TR2-TRKS-SL52,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL52,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,January 2020,COR,226022,"Friday, January 10, 2020",discordance of switch,"JN412 vibration while trams crossing the pedestrian area, crushed stones on tracks",46935,janv.-20,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A3A2-JN412,TRKSWITCH,,DXBT01,A3A2,JN412,,,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,January 2020,COR,226379,"Tuesday, January 21, 2020",discordance of switch,SL 42 discordant,47142,janv.-20,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-A7A7-TR2-TRKS-SL42,TRKSWITCH,,DXBT01,A7A7,TR2,TRKS,SL42,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,NO PROBLEM FOUND,,February 2020,COR,227926,"Sunday, February 2, 2020",discordance of switch,SL41 Discordant during pre opening swing test,47302,Feb/2020,FC-TRKS DISCORDANCE NO PROBLEM FOUND,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,January 2020,COR,226386,"Thursday, January 23, 2020",discordance of switch,SL 23 during functional test discordant from Tr2,47164,janv.-20,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND AND GREASE,BLOWER,February 2020,COR,228358,"Tuesday, February 18, 2020",discordance of switch,SD01 is discordant going towards DP1,47554,Feb/2020,FC-TRKS DISCORDANCE SAND AND GREASE,TRK,DXBT01-DEP-ZA-DO1-TRKS-SD01,TRKSWITCH,,DXBT01,DEP,ZA,DO1,TRKS,SD01,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,SAND ACCUMULATION,BLOWER,February 2020,COR,229858,"Friday, February 21, 2020",discordance of switch,SL37 discordant,47589,Feb/2020,FC-TRKS DISCORDANCE SAND ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL37,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL37,,COMP,
